,0
"('adipose', 'SIGNED', 'lightcyan1')",26.462845277072507
"('adipose', 'SIGNED', 'lightpink4')",25.152006554629917
"('adipose', 'SIGNED', 'pink')",22.664477558281376
"('adipose', 'SIGNED', 'paleturquoise')",23.350529861261677
"('adipose', 'SIGNED', 'magenta')",20.05198113424479
"('adipose', 'SIGNED', 'orangered4')",23.712598875628924
"('adipose', 'SIGNED', 'royalblue')",23.406737292567172
"('adipose', 'SIGNED', 'thistle2')",28.39305709141448
"('adipose', 'SIGNED', 'salmon')",25.705000240668983
"('adipose', 'SIGNED', 'red')",21.394726800120644
"('adipose', 'SIGNED', 'yellowgreen')",24.871124272216466
"('adipose', 'SIGNED', 'yellow')",22.128073233259066
"('adipose', 'UNSIGNED', 'bisque4')",22.16807170544072
"('adipose', 'SIGNED', 'saddlebrown')",25.840494544322212
"('adipose', 'SIGNED', 'skyblue3')",26.350727710842882
"('adipose', 'UNSIGNED', 'black')",25.133989900825537
"('adipose', 'SIGNED', 'turquoise')",22.673971383312328
"('adipose', 'UNSIGNED', 'antiquewhite4')",29.104287057527095
"('adipose', 'SIGNED', 'violet')",25.957260903470647
"('adipose', 'SIGNED', 'tan')",19.89015827447415
"('adipose', 'SIGNED', 'salmon4')",22.701811077710232
"('adipose', 'SIGNED', 'skyblue')",25.98920908875154
"('adipose', 'SIGNED', 'white')",21.85442288137524
"('adipose', 'SIGNED', 'thistle1')",28.806014114644583
"('adipose', 'SIGNED', 'sienna3')",24.6112096123263
"('adipose', 'SIGNED', 'steelblue')",25.34333648177055
"('adipose', 'UNSIGNED', 'coral2')",25.169329920207435
"('adipose', 'UNSIGNED', 'darkseagreen4')",25.424073595081058
"('adipose', 'UNSIGNED', 'darkorange')",26.525876148276712
"('adipose', 'UNSIGNED', 'brown')",28.224306488581156
"('adipose', 'UNSIGNED', 'darkgreen')",25.65335215811993
"('adipose', 'UNSIGNED', 'grey60')",26.608242509032216
"('adipose', 'UNSIGNED', 'cyan')",25.400558485963177
"('adipose', 'UNSIGNED', 'darkturquoise')",26.531433184206517
"('adipose', 'UNSIGNED', 'brown4')",25.921876406102704
"('adipose', 'UNSIGNED', 'darkgrey')",24.1219868295486
"('adipose', 'UNSIGNED', 'darkorange2')",25.682168453062616
"('adipose', 'UNSIGNED', 'greenyellow')",26.408414301111794
"('adipose', 'UNSIGNED', 'green')",23.401613357294288
"('adipose', 'UNSIGNED', 'coral1')",24.7530822895831
"('adipose', 'UNSIGNED', 'floralwhite')",26.115367727775908
"('adipose', 'UNSIGNED', 'darkslateblue')",27.98007987474158
"('adipose', 'UNSIGNED', 'blue')",21.777557036163007
"('adipose', 'UNSIGNED', 'darkolivegreen')",26.682052417398598
"('adipose', 'UNSIGNED', 'darkmagenta')",27.289376781819406
"('adipose', 'UNSIGNED', 'darkred')",26.059466353522144
"('adipose', 'UNSIGNED', 'lavenderblush3')",22.508850231274653
"('adipose', 'UNSIGNED', 'lightsteelblue1')",26.722451662091647
"('adipose', 'UNSIGNED', 'orange')",21.0204296669681
"('adipose', 'UNSIGNED', 'mediumpurple3')",27.764241567905003
"('adipose', 'UNSIGNED', 'ivory')",26.411240310122412
"('adipose', 'UNSIGNED', 'lightgreen')",26.09679343234117
"('adipose', 'UNSIGNED', 'mediumorchid')",24.91742207372495
"('adipose', 'UNSIGNED', 'indianred4')",27.532818693102673
"('adipose', 'UNSIGNED', 'magenta')",20.91301780464953
"('adipose', 'UNSIGNED', 'lightcyan')",26.096864030859145
"('adipose', 'UNSIGNED', 'lightyellow')",26.723623769263742
"('adipose', 'UNSIGNED', 'mediumpurple2')",27.51052105837204
"('adipose', 'UNSIGNED', 'lightpink4')",26.711498627416947
"('adipose', 'UNSIGNED', 'honeydew1')",27.503209497231285
"('adipose', 'UNSIGNED', 'navajowhite2')",27.184027163598095
"('adipose', 'UNSIGNED', 'maroon')",25.01819534868433
"('adipose', 'UNSIGNED', 'lightcyan1')",26.16161605285989
"('adipose', 'UNSIGNED', 'lightsteelblue')",26.821746349862753
"('adipose', 'UNSIGNED', 'midnightblue')",23.81618001045615
"('adipose', 'UNSIGNED', 'lightcoral')",28.009936076669007
"('adipose', 'UNSIGNED', 'plum')",27.951831975606346
"('adipose', 'UNSIGNED', 'orangered4')",24.10899386238343
"('adipose', 'UNSIGNED', 'skyblue2')",27.050587237057112
"('adipose', 'UNSIGNED', 'palevioletred3')",26.98184208005895
"('adipose', 'UNSIGNED', 'skyblue')",26.67166523091828
"('adipose', 'UNSIGNED', 'salmon4')",25.46167778438723
"('adipose', 'UNSIGNED', 'skyblue3')",26.568732980632394
"('adipose', 'UNSIGNED', 'pink')",20.971481635976236
"('adipose', 'UNSIGNED', 'plum2')",25.00321168832261
"('adipose', 'UNSIGNED', 'salmon')",26.481893280056035
"('adipose', 'UNSIGNED', 'saddlebrown')",25.505744355751535
"('adipose', 'UNSIGNED', 'royalblue')",25.939032701397174
"('adipose', 'UNSIGNED', 'sienna3')",25.609864019951516
"('adipose', 'UNSIGNED', 'skyblue1')",27.065975624841094
"('adipose', 'UNSIGNED', 'orangered3')",27.439762121044993
"('adipose', 'UNSIGNED', 'red')",22.94705993745819
"('adipose', 'UNSIGNED', 'purple')",25.294421192103776
"('adipose', 'UNSIGNED', 'steelblue')",28.384408591644107
"('adipose', 'UNSIGNED', 'paleturquoise')",24.910196703727078
"('adipose', 'UNSIGNED', 'plum1')",23.68178971825413
"('kidney', 'SIGNED', 'darkgreen')",24.15631764809351
"('kidney', 'SIGNED', 'darkolivegreen')",26.12886737586842
"('adipose', 'UNSIGNED', 'tan')",22.46423632704455
"('kidney', 'SIGNED', 'brown4')",27.704143843331057
"('kidney', 'SIGNED', 'brown')",21.95742958106612
"('kidney', 'SIGNED', 'bisque4')",25.442864644311587
"('kidney', 'SIGNED', 'darkorange')",26.825217491602952
"('adipose', 'UNSIGNED', 'yellow4')",24.665837334334416
"('kidney', 'SIGNED', 'darkmagenta')",26.04884177799141
"('adipose', 'UNSIGNED', 'yellowgreen')",25.57183175769898
"('kidney', 'SIGNED', 'darkgrey')",24.969294153944013
"('adipose', 'UNSIGNED', 'violet')",25.162414116709513
"('kidney', 'SIGNED', 'blue')",24.131424541518527
"('adipose', 'UNSIGNED', 'yellow')",25.98429626964996
