,tissue,network,module,glucose,weight,insulin,triglyceride,mean
173,liver,UNSIGNED,brown4,27.1,10.5,168.8,45.5,63
174,liver,UNSIGNED,black,24.5,10.8,118.3,50,50.9
175,liver,UNSIGNED,cyan,24.9,10.7,124.7,41.9,50.6
176,liver,UNSIGNED,darkred,24,10.7,158.2,42,58.7
177,liver,UNSIGNED,brown,26.4,11.9,171.2,48.4,64.5
178,liver,UNSIGNED,blue,23.3,10.9,114.7,34.5,45.9
179,liver,UNSIGNED,floralwhite,28.2,11.3,168.4,48.5,64.1
180,liver,UNSIGNED,lavenderblush3,28.1,10.6,152,47.8,59.7
181,liver,UNSIGNED,lightsteelblue,26.8,11.2,142.7,53.3,58.5
182,liver,UNSIGNED,honeydew,26.9,10.8,153.5,52.6,60.9
183,liver,UNSIGNED,lightgreen,26.9,11.8,146.1,54.6,59.9
184,liver,UNSIGNED,firebrick4,27.2,10.3,145.5,47.2,57.6
185,liver,UNSIGNED,lightcyan,23.2,10.5,117.8,41.7,48.3
186,liver,UNSIGNED,greenyellow,26.8,11.4,169.4,52,64.9
187,liver,UNSIGNED,darkviolet,26,11.5,161.6,44.2,60.8
188,liver,UNSIGNED,indianred4,24.2,11.6,140.1,43.7,54.9
189,liver,UNSIGNED,lightcoral,25.3,10.6,144.9,46.5,56.8
190,liver,UNSIGNED,lightcyan1,27.5,11.5,155.6,50.5,61.3
191,liver,UNSIGNED,lightpink4,24.6,11.3,145.8,48,57.4
192,liver,UNSIGNED,lightpink3,24.3,11,168.9,47.3,62.9
193,liver,UNSIGNED,ivory,24.7,10.9,113.1,42.6,47.8
194,liver,UNSIGNED,honeydew1,27.6,11,166.6,49.8,63.7
195,liver,UNSIGNED,darkturquoise,26.7,11.2,167.8,48.6,63.6
196,liver,UNSIGNED,lavenderblush2,24.6,9.5,130,44.9,52.2
197,liver,UNSIGNED,green,26.4,11.1,166.8,52.5,64.2
198,liver,UNSIGNED,grey60,28.2,11.3,179.5,50.6,67.4
199,liver,UNSIGNED,mediumpurple2,26.8,11.1,173,51.2,65.5
200,liver,UNSIGNED,orangered3,27.4,11,145.8,44.8,57.2
201,liver,UNSIGNED,plum,26.1,10.9,146.4,43.2,56.7
