,tissue,network,module,glucose,weight,insulin,triglyceride,mean
572,liver,UNSIGNED,lightcoral,25.582594,10.834986,133.40652,43.797195,53.405324
573,liver,UNSIGNED,lightcyan1,26.570609,11.194641,164.200738,50.202258,63.042061
574,liver,UNSIGNED,lightcyan,15.870218,8.924354,87.522996,32.841746,36.289828
575,liver,UNSIGNED,lightgreen,27.009703,11.183182,167.752796,50.973312,64.229748
576,liver,UNSIGNED,lightpink3,24.191138,10.968997,147.019474,46.681189,57.2152
577,liver,UNSIGNED,lightpink4,21.480329,10.213486,138.620584,41.984783,53.074796
578,liver,UNSIGNED,lightsteelblue1,27.37171,11.336693,164.799532,48.258014,62.941487
579,liver,UNSIGNED,lightsteelblue,24.752176,9.70413,144.469229,48.279336,56.801218
580,liver,UNSIGNED,lightyellow,27.844527,11.290814,175.214102,50.04604,66.098871
581,liver,UNSIGNED,magenta4,24.817556,11.024885,131.180469,49.515792,54.134676
582,liver,UNSIGNED,magenta,20.957521,9.322826,111.998807,38.560412,45.209891
583,liver,UNSIGNED,maroon,26.170934,10.791661,142.921377,50.82334,57.676828
584,liver,UNSIGNED,mediumorchid,26.661624,9.689695,100.698983,46.185874,45.809044
585,liver,UNSIGNED,mediumpurple2,27.009703,11.183182,167.752796,50.973312,64.229748
586,liver,UNSIGNED,mediumpurple3,25.009718,10.833554,115.840513,43.285923,48.742427
587,liver,UNSIGNED,midnightblue,26.311692,11.06035,163.203599,49.867182,62.610706
588,liver,UNSIGNED,navajowhite1,27.043556,11.85558,173.827737,51.601426,66.082075
589,liver,UNSIGNED,navajowhite2,23.827575,10.013179,141.557111,37.363371,53.190309
590,liver,UNSIGNED,orangered3,26.154056,10.382914,140.359591,39.660768,54.139332
591,liver,UNSIGNED,orangered4,26.046849,11.354111,146.886911,50.39499,58.670715
592,liver,UNSIGNED,orange,25.094795,10.80085,134.540428,44.554132,53.747551
593,liver,UNSIGNED,paleturquoise,21.877809,10.607377,125.762397,43.250796,50.374595
594,liver,UNSIGNED,palevioletred2,26.904146,10.28849,155.748768,48.774163,60.428892
595,liver,UNSIGNED,palevioletred3,26.221525,11.281131,147.15529,48.621657,58.319901
596,liver,UNSIGNED,pink,26.01713,11.59962,158.107183,46.553018,60.569238
597,liver,UNSIGNED,plum1,22.865401,9.877759,117.785953,48.311906,49.710255
598,liver,UNSIGNED,plum2,26.02905,10.561492,145.363351,45.188487,56.785595
599,liver,UNSIGNED,plum3,27.078299,11.021925,157.316267,47.289184,60.676419
600,liver,UNSIGNED,plum,25.585232,10.868136,131.857964,45.441635,53.438242
601,liver,UNSIGNED,purple,26.668777,10.850065,152.987395,49.215791,59.930507
602,liver,UNSIGNED,red,27.009703,11.183182,167.752796,50.973312,64.229748
603,liver,UNSIGNED,royalblue,21.855808,9.159687,109.087811,37.297193,44.350125
604,liver,UNSIGNED,saddlebrown,22.165171,10.352365,132.594026,41.621279,51.68321
605,liver,UNSIGNED,salmon2,26.049158,10.635102,119.935387,43.312444,49.983023
606,liver,UNSIGNED,salmon4,27.384406,10.48338,133.422697,45.699968,54.247613
607,liver,UNSIGNED,salmon,27.066301,11.180032,167.386439,51.255761,64.222133
608,liver,UNSIGNED,sienna3,26.346249,11.590205,165.148689,46.668352,62.438374
609,liver,UNSIGNED,skyblue1,27.084725,10.041227,156.285953,42.715523,59.031857
610,liver,UNSIGNED,skyblue2,23.468365,10.287456,136.85608,40.83426,52.86154
611,liver,UNSIGNED,skyblue3,19.595791,10.049585,131.430725,40.01098,50.27177
612,liver,UNSIGNED,skyblue,25.572354,10.757142,138.510784,44.036729,54.719252
613,liver,UNSIGNED,steelblue,19.376436,9.758864,133.21178,39.101668,50.362187
614,liver,UNSIGNED,tan,26.588832,11.362555,164.579908,50.13083,63.165531
615,liver,UNSIGNED,thistle1,27.192087,11.448578,167.23954,50.510387,64.097648
616,liver,UNSIGNED,thistle2,24.388135,10.628058,114.236572,46.459079,48.927961
617,liver,UNSIGNED,thistle3,26.540614,11.111153,162.687187,50.45112,62.697518
618,liver,UNSIGNED,thistle,24.161125,10.51841,141.015252,43.953304,54.912023
619,liver,UNSIGNED,turquoise,12.452347,6.739105,104.304893,32.807301,39.075912
620,liver,UNSIGNED,violet,27.009703,11.183182,167.752796,50.973312,64.229748
621,liver,UNSIGNED,white,26.911752,11.02556,169.547752,49.594684,64.269937
622,liver,UNSIGNED,yellow4,23.987623,10.913439,155.004075,46.924164,59.207325
623,liver,UNSIGNED,yellowgreen,22.209188,9.33337,153.261345,44.323663,57.281892
624,liver,UNSIGNED,yellow,25.268224,10.099834,132.337555,42.050724,52.439084
625,islet,UNSIGNED,grey,17.230391,7.004123,133.018757,35.399913,48.163296
626,liver,UNSIGNED,grey,18.780712,10.104987,124.551113,39.178301,48.153778
