,tissue,network,module,glucose,weight,insulin,triglyceride,mean
271,adipose,SIGNED,lavenderblush3,26.98,11.18,168.32,46.02,63.13
272,adipose,SIGNED,greenyellow,19.2,10.15,104.56,29.48,40.85
273,adipose,SIGNED,darkturquoise,20.52,10.73,117.47,31.63,45.09
274,adipose,SIGNED,grey60,24.96,11.18,166.61,39.96,60.68
275,adipose,SIGNED,midnightblue,19.99,9.89,100.98,35.77,41.66
276,adipose,SIGNED,magenta,16.99,8.5,86.06,33.79,36.33
277,adipose,SIGNED,green,20.58,9.37,96.09,37.11,40.79
278,adipose,SIGNED,sienna3,19.24,10.56,142.95,36.28,52.26
279,adipose,SIGNED,thistle1,27.28,11.18,173.64,47.98,65.02
280,adipose,SIGNED,orange,19.92,10.87,115.13,36.69,45.65
281,adipose,SIGNED,skyblue,23.47,10.72,140.03,40.98,53.8
282,adipose,SIGNED,royalblue,18.63,9.94,108.4,36.96,43.48
283,adipose,SIGNED,skyblue3,27.28,11.18,167.63,44.52,62.65
284,adipose,SIGNED,thistle2,26.28,10.96,148.07,47.79,58.28
285,adipose,SIGNED,orangered4,21.35,9.45,125.5,30.43,46.68
286,adipose,SIGNED,steelblue,21.61,10.76,152.89,39.59,56.21
287,adipose,SIGNED,tan,18.21,10.58,83.98,40.36,38.28
288,adipose,SIGNED,saddlebrown,22.23,11.31,170.95,35.23,59.93
289,adipose,SIGNED,plum1,26.26,10.97,168.62,51.03,64.22
290,adipose,SIGNED,paleturquoise,19.23,10.1,131.1,31.8,48.06
291,adipose,SIGNED,plum2,25.88,11.18,173.58,42.71,63.34
292,adipose,SIGNED,salmon4,21.56,11.42,146.14,36.42,53.88
293,adipose,SIGNED,palevioletred3,24.91,11.14,179.49,49.99,66.38
294,adipose,SIGNED,salmon,24.7,10.82,139.25,45.01,54.94
295,adipose,SIGNED,red,19.83,8.71,93.88,35.76,39.55
296,adipose,SIGNED,purple,19.54,11.18,160.77,34.53,56.51
297,adipose,SIGNED,pink,18.52,8.71,89.27,52.09,42.15
298,adipose,UNSIGNED,brown4,24.47,10.95,154.29,42.62,58.08
299,adipose,UNSIGNED,coral1,23.97,11.18,158.66,47.94,60.44
300,adipose,SIGNED,violet,23.82,10.87,127.99,42.33,51.25
301,adipose,UNSIGNED,bisque4,20.46,11.21,146.16,36.37,53.55
302,adipose,UNSIGNED,cyan,20.27,10.45,135.47,39.35,51.38
303,adipose,SIGNED,yellowgreen,23.84,10.06,147.08,42.2,55.79
304,adipose,UNSIGNED,coral2,24.9,11.18,170.92,44.54,62.89
305,adipose,SIGNED,white,17.2,10.73,128.27,28.03,46.06
306,adipose,UNSIGNED,darkgreen,20.92,10.04,136.53,33.49,50.24
307,adipose,UNSIGNED,antiquewhite4,27.33,10.77,149.09,40.72,56.98
308,adipose,UNSIGNED,darkolivegreen,25.96,11.18,172.32,34.32,60.94
309,adipose,UNSIGNED,darkgrey,19.95,10.15,122.71,33.33,46.53
310,adipose,UNSIGNED,brown,21.5,11.22,146.06,30.79,52.39
311,adipose,UNSIGNED,darkmagenta,26.71,11.18,172.61,50.58,65.27
312,adipose,UNSIGNED,black,19.78,11.18,161.42,34.09,56.62
313,adipose,UNSIGNED,blue,19.73,10.02,96.77,40.03,41.64
314,adipose,SIGNED,yellow,17.91,8.02,102.47,35.19,40.9
315,adipose,SIGNED,turquoise,19.24,8.77,90.73,41.01,39.94
316,adipose,SIGNED,grey,22.24,11.18,171.46,48.56,63.36
317,adipose,SIGNED,all,17.61,10.55,116.16,38.74,45.76
318,adipose,UNSIGNED,darkslateblue,24.78,11.18,171.19,42.12,62.32
319,adipose,UNSIGNED,lightcyan,23.18,11.03,154.27,41.71,57.55
320,adipose,UNSIGNED,lightcyan1,21.54,10.84,138.82,40.59,52.95
321,adipose,UNSIGNED,lightsteelblue,25.33,10.68,149.67,46.22,57.97
322,adipose,UNSIGNED,darkorange2,25.37,10.52,137.14,39.21,53.06
323,adipose,UNSIGNED,honeydew1,25.49,10.6,171.72,39.98,61.95
324,adipose,UNSIGNED,greenyellow,20.61,10.22,128.32,31.06,47.55
325,adipose,UNSIGNED,lightcoral,28.74,10.94,153.46,41.82,58.74
326,adipose,UNSIGNED,darkorange,27.72,11.18,167.63,45.63,63.04
327,adipose,UNSIGNED,darkred,23.57,11.15,161.83,43.53,60.02
328,adipose,UNSIGNED,indianred4,26.95,11.18,172.61,50.27,65.25
329,adipose,UNSIGNED,darkseagreen4,23.1,10.93,156.92,49.45,60.1
330,adipose,UNSIGNED,lightpink4,28.12,11.18,169.64,42.68,62.91
331,adipose,UNSIGNED,lavenderblush3,20.32,11.24,143.4,37.12,53.02
332,adipose,UNSIGNED,ivory,25.07,11.18,173.59,42.12,62.99
333,adipose,UNSIGNED,grey60,28.47,10.8,137.64,53.26,57.54
334,adipose,UNSIGNED,floralwhite,24.76,11.17,157.23,48.42,60.4
335,adipose,UNSIGNED,lightgreen,23.81,10.1,135.58,41.59,52.77
336,adipose,UNSIGNED,darkturquoise,24.1,11.18,167.6,40.72,60.9
337,adipose,UNSIGNED,green,16.81,8.76,105.34,49.43,45.09
338,adipose,UNSIGNED,maroon,25.17,11.14,179.08,48.63,66
339,adipose,UNSIGNED,plum2,23.16,11.18,161.31,36.3,57.99
340,adipose,UNSIGNED,lightyellow,25.39,11.15,160.76,37.67,58.74
341,adipose,UNSIGNED,paleturquoise,22.5,11.24,123.4,37.86,48.75
342,adipose,UNSIGNED,mediumpurple3,26.86,11.09,170.4,46.49,63.71
343,adipose,UNSIGNED,plum1,24.63,10.29,138.03,37.27,52.55
344,adipose,UNSIGNED,palevioletred3,25.4,11.18,171.3,45.38,63.31
345,adipose,UNSIGNED,mediumorchid,25.85,11.31,175.27,41.92,63.59
346,adipose,UNSIGNED,lightsteelblue1,26.9,11.05,152.37,44.4,58.68
347,adipose,UNSIGNED,orangered3,28.18,10.96,136,43.83,54.74
348,adipose,UNSIGNED,midnightblue,17.72,10.37,130.81,35.55,48.61
349,adipose,UNSIGNED,mediumpurple2,26.38,10.64,158.29,43.88,59.79
350,adipose,UNSIGNED,magenta,20.82,10.3,94.66,33.96,39.93
351,adipose,UNSIGNED,navajowhite2,26.32,10.98,164.82,46.64,62.19
352,adipose,UNSIGNED,plum,28.36,11.26,181.08,43.75,66.11
353,adipose,UNSIGNED,purple,20.27,11.18,160.45,36.69,57.15
354,adipose,UNSIGNED,orange,16.2,10.91,118.9,32.23,44.56
355,adipose,UNSIGNED,orangered4,23.84,10.72,143.06,36.56,53.54
356,adipose,UNSIGNED,pink,18.49,10.03,105.58,35.74,42.46
357,adipose,UNSIGNED,red,17.49,9.24,90.34,33.5,37.64
358,adipose,UNSIGNED,sienna3,27.01,11.18,172.61,47.96,64.69
359,adipose,UNSIGNED,skyblue3,24.38,11.07,144.19,52.82,58.12
360,adipose,UNSIGNED,skyblue2,25.94,11.03,145.92,42.77,56.42
361,adipose,UNSIGNED,thistle1,24.92,10.26,158.03,41.7,58.73
362,adipose,UNSIGNED,saddlebrown,26.9,11.18,171.82,49.17,64.77
363,adipose,UNSIGNED,steelblue,26.95,11.18,172.61,50.27,65.25
364,adipose,UNSIGNED,yellowgreen,26.18,11.18,174.43,45.83,64.41
365,adipose,UNSIGNED,salmon,24.39,10.11,118.56,36.2,47.31
366,adipose,UNSIGNED,yellow4,26.34,11.18,172.61,50,65.03
367,adipose,UNSIGNED,skyblue1,27.13,10.95,166.55,45.89,62.63
368,adipose,UNSIGNED,violet,24.41,10.75,157.75,46.55,59.87
369,adipose,UNSIGNED,tan,17.95,10.27,128.77,35.05,48.01
370,adipose,UNSIGNED,royalblue,25.94,11.18,172.61,48.44,64.55
371,adipose,UNSIGNED,white,24.02,10.59,167.91,37.06,59.89
372,adipose,UNSIGNED,thistle2,25.77,11.1,174.45,42.32,63.41
373,adipose,UNSIGNED,skyblue,25.21,10.71,135.77,39.69,52.84
374,adipose,UNSIGNED,yellow,19.15,9.95,112.69,38.62,45.1
375,adipose,UNSIGNED,salmon4,23.62,11.15,159.7,44.81,59.82
376,adipose,UNSIGNED,turquoise,17.98,9.65,104.89,36.03,42.14
377,adipose,UNSIGNED,grey,19.48,10.98,141.04,41.83,53.33
378,kidney,SIGNED,brown4,27.55,11.12,178.18,48.66,66.38
379,kidney,SIGNED,floralwhite,21.05,10.55,135.72,35.73,50.76
380,kidney,SIGNED,darkred,23.96,11.16,149.22,39.67,56
381,kidney,SIGNED,darkolivegreen,23.9,10.87,161.45,44.22,60.11
382,kidney,SIGNED,grey60,19.85,10.83,144.16,32.64,51.87
383,kidney,SIGNED,darkturquoise,18.34,9.81,121.42,42.94,48.13
384,kidney,SIGNED,darkslateblue,23.77,11.22,180.23,47.72,65.74
385,kidney,SIGNED,darkorange,23.84,11.06,140.02,41.08,54
