,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
80,10002911124.Olfr27,black,adipose,,NO,Olfr27,,1,SIGNED
81,503456.Htr4,black,adipose,,NO,Htr4,,1,SIGNED
82,10002907946.Pfdn1,black,adipose,,NO,Pfdn1,,1,SIGNED
83,10002929727.Gm27684,black,adipose,,NO,Gm27684,,1,SIGNED
84,10002903516.Olfr1273-ps,black,adipose,,NO,Olfr1273-ps,,1,SIGNED
85,10003844974.Gm22723,black,adipose,,NO,Gm22723,,1,SIGNED
86,10002936604.Slit3,black,adipose,,NO,Slit3,,1,SIGNED
87,510829.Diaph2,black,adipose,,NO,Diaph2,,1,SIGNED
88,514838.Hsd17b2,black,adipose,,NO,Hsd17b2,,1,SIGNED
89,10002946081.Ppm1h,black,adipose,,NO,Ppm1h,,1,SIGNED
90,502592.Rasgrf2,black,adipose,,NO,Rasgrf2,,1,SIGNED
91,498014.Bard1,black,adipose,,NO,Bard1,,1,SIGNED
92,10002921777.Gm24826,black,adipose,,NO,Gm24826,,1,SIGNED
93,1015382.Kif5a,black,adipose,,NO,Kif5a,,1,SIGNED
94,510425.Dmrta2os,black,adipose,,NO,Dmrta2os,,1,SIGNED
95,10003841674.Kcnd3,black,adipose,,NO,Kcnd3,,1,SIGNED
96,505771.4930423D22Rik,black,adipose,,NO,4930423D22Rik,,1,SIGNED
97,10004034196.Rhox3f,black,adipose,,NO,Rhox3f,,1,SIGNED
98,10004037214.Olfr812,black,adipose,,NO,Olfr812,,1,SIGNED
99,507604.Htr5a,black,adipose,,NO,Htr5a,,1,SIGNED
100,10003838640.4932441J04Rik,black,adipose,,NO,4932441J04Rik,,1,SIGNED
101,10004035683.Ldlrad4,black,adipose,,NO,Ldlrad4,,1,SIGNED
102,506494.4930448H16Rik,black,adipose,,NO,4930448H16Rik,,1,SIGNED
103,10002931191.Lca5l,black,adipose,,NO,Lca5l,,1,SIGNED
104,10002907859.Gm6999,black,adipose,,NO,Gm6999,,1,SIGNED
105,10004037544.Zfp277,black,adipose,,NO,Zfp277,,1,SIGNED
106,10003843550.Fbxw9,black,adipose,,NO,Fbxw9,,1,SIGNED
107,10002897191.Gm44247,black,adipose,,NO,Gm44247,,1,SIGNED
108,507934.Bcorl1,black,adipose,,NO,Bcorl1,,1,SIGNED
109,10002913855.Gm8048,black,adipose,,NO,Gm8048,,1,SIGNED
110,10003843050.Itgb8,black,adipose,,NO,Itgb8,,1,SIGNED
111,10002898900.Fam104a,black,adipose,,NO,Fam104a,,1,SIGNED
112,519725.Vip,black,adipose,,NO,Vip,,1,SIGNED
113,10002937109.Gm14041,black,adipose,,NO,Gm14041,,1,SIGNED
114,10004037498.4930405D01Rik,black,adipose,,NO,4930405D01Rik,,1,SIGNED
115,10002912966.Olfr1511,black,adipose,,NO,Olfr1511,,1,SIGNED
116,10003837795.Csnk1d,black,adipose,,NO,Csnk1d,,1,SIGNED
117,10003841872.Nckap5,black,adipose,,NO,Nckap5,,1,SIGNED
118,10003835718.Gm17054,black,adipose,,NO,Gm17054,,1,SIGNED
119,10003842448.Stx1b,black,adipose,,NO,Stx1b,,1,SIGNED
120,10002929760.Ctbp2,black,adipose,,NO,Ctbp2,,1,SIGNED
121,10004034431.Wnt7a,black,adipose,,NO,Wnt7a,,1,SIGNED
122,499152.Hmx3,black,adipose,,NO,Hmx3,,1,SIGNED
123,511204.Rnf17,black,adipose,,NO,Rnf17,,1,SIGNED
124,10003845695.Gm5771,black,adipose,,NO,Gm5771,,1,SIGNED
125,10002941591.Gm14919,black,adipose,,NO,Gm14919,,1,SIGNED
126,10002934246.E130006D01Rik,black,adipose,,NO,E130006D01Rik,,1,SIGNED
127,10002905937.Olfr1347,black,adipose,,NO,Olfr1347,,1,SIGNED
128,10003845163.Reps2,black,adipose,,NO,Reps2,,1,SIGNED
129,10002924254.Gm14643,black,adipose,,NO,Gm14643,,1,SIGNED
130,10004036725.Fcamr,black,adipose,,NO,Fcamr,,1,SIGNED
131,10002903067.Marveld1,black,adipose,,NO,Marveld1,,1,SIGNED
132,10004038050.Olfr930,black,adipose,,NO,Olfr930,,1,SIGNED
133,10002918082.Ids,black,adipose,,NO,Ids,,1,SIGNED
134,10003838658.C330022C24Rik,black,adipose,,NO,C330022C24Rik,,1,SIGNED
135,10004035469.Olfr1423,black,adipose,,NO,Olfr1423,,1,SIGNED
136,10004033174.Olfr46,black,adipose,,NO,Olfr46,,1,SIGNED
137,10003845549.Armc9,black,adipose,,NO,Armc9,,1,SIGNED
138,510402.Rabepk,black,adipose,,NO,Rabepk,,1,SIGNED
139,10002931863.Vmn2r-ps127,black,adipose,,NO,Vmn2r-ps127,,1,SIGNED
140,10003843549.Gm45250,black,adipose,,NO,Gm45250,,1,SIGNED
141,10002935303.Gm5575,black,adipose,,NO,Gm5575,,1,SIGNED
142,10003844199.Gm26268,black,adipose,,NO,Gm26268,,1,SIGNED
143,10002929009.Gm23393,black,adipose,,NO,Gm23393,,1,SIGNED
144,509710.Lrrc15,black,adipose,,NO,Lrrc15,,1,SIGNED
145,10002931560.Nrg3,black,adipose,,NO,Nrg3,,1,SIGNED
146,10002904515.Znhit3,black,adipose,,NO,Znhit3,,1,SIGNED
147,10002917979.Olfr61,black,adipose,,NO,Olfr61,,1,SIGNED
148,510383.4933407K13Rik,black,adipose,,NO,4933407K13Rik,,1,SIGNED
149,10002915273.Zfp287,black,adipose,,NO,Zfp287,,1,SIGNED
150,506767.Ccnk,black,adipose,,NO,Ccnk,,1,SIGNED
151,511871.Pantr2,black,adipose,,NO,Pantr2,,1,SIGNED
152,10002909119.Misp3,black,adipose,,NO,Misp3,,1,SIGNED
153,10003843567.Rncr4,black,adipose,,NO,Rncr4,,1,SIGNED
154,10003842478.Gm42984,black,adipose,,NO,Gm42984,,1,SIGNED
155,10003843457.Pcdhb22,black,adipose,,NO,Pcdhb22,,1,SIGNED
156,10004036525.4930470P17Rik,black,adipose,,NO,4930470P17Rik,,1,SIGNED
157,10002173015.Map1a,black,adipose,,NO,Map1a,,1,SIGNED
158,10002929505.Frmd4a,black,adipose,,NO,Frmd4a,,1,SIGNED
