,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
75,511117.Bmpr1b,black,adipose,,NO,Bmpr1b,,1,UNSIGNED
76,10002896729.Galnt3,black,adipose,,NO,Galnt3,,1,UNSIGNED
77,503647.Tbx1,black,adipose,,NO,Tbx1,,1,UNSIGNED
78,517181.Dusp14,black,adipose,,NO,Dusp14,,1,UNSIGNED
79,497990.Rnf186,black,adipose,,NO,Rnf186,,1,UNSIGNED
80,511264.Reln,black,adipose,,NO,Reln,,1,UNSIGNED
81,516240.Cftr,black,adipose,,NO,Cftr,,1,UNSIGNED
82,10002896687.Adgrg2,black,adipose,,NO,Adgrg2,,1,UNSIGNED
83,503901.Tpd52l1,black,adipose,,NO,Tpd52l1,,1,UNSIGNED
84,10002912881.Cfap44,black,adipose,,NO,Cfap44,,1,UNSIGNED
85,515996.Arg2,black,adipose,,NO,Arg2,,1,UNSIGNED
86,510976.1700024G13Rik,black,adipose,,NO,1700024G13Rik,,1,UNSIGNED
87,512165.1700012B09Rik,black,adipose,,NO,1700012B09Rik,,1,UNSIGNED
88,10004035730.1110017D15Rik,black,adipose,,NO,1110017D15Rik,,1,UNSIGNED
89,1480292.Prom2,black,adipose,,NO,Prom2,,1,UNSIGNED
90,10002896239.Ak7,black,adipose,,NO,Ak7,,1,UNSIGNED
91,10002913633.Slc38a5,black,adipose,,NO,Slc38a5,,1,UNSIGNED
92,10002907716.Dyrk3,black,adipose,,NO,Dyrk3,,1,UNSIGNED
93,511743.Slc7a9,black,adipose,,NO,Slc7a9,,1,UNSIGNED
94,508143.Chad,black,adipose,,NO,Chad,,1,UNSIGNED
95,10002901800.Ppp1r1b,black,adipose,,NO,Ppp1r1b,,1,UNSIGNED
96,514369.Paqr5,black,adipose,,NO,Paqr5,,1,UNSIGNED
97,517567.Cldn11,black,adipose,,NO,Cldn11,,1,UNSIGNED
98,10002915088.Acsbg1,black,adipose,,NO,Acsbg1,,1,UNSIGNED
99,10002941296.Erich3,black,adipose,,NO,Erich3,,1,UNSIGNED
100,504537.Krt18,black,adipose,,NO,Krt18,,1,UNSIGNED
101,506293.Rab17,black,adipose,,NO,Rab17,,1,UNSIGNED
102,510645.Cacna1h,black,adipose,,NO,Cacna1h,,1,UNSIGNED
103,10002911843.Sult1c2,black,adipose,,NO,Sult1c2,,1,UNSIGNED
104,10002900113.Iqca,black,adipose,,NO,Iqca,,1,UNSIGNED
105,10002897701.Vwa3b,black,adipose,,NO,Vwa3b,,1,UNSIGNED
106,10002935812.Smim22,black,adipose,,NO,Smim22,,1,UNSIGNED
107,515338.Fgfr4,black,adipose,,NO,Fgfr4,,1,UNSIGNED
108,10002907304.Ramp3,black,adipose,,NO,Ramp3,,1,UNSIGNED
109,10002918540.Agr3,black,adipose,,NO,Agr3,,1,UNSIGNED
110,10002897210.Ano9,black,adipose,,NO,Ano9,,1,UNSIGNED
111,10002907642.Irx2,black,adipose,,NO,Irx2,,1,UNSIGNED
112,504028.Spag6l,black,adipose,,NO,Spag6l,,1,UNSIGNED
113,10002937099.Pou3f3,black,adipose,,NO,Pou3f3,,1,UNSIGNED
114,1483526.Zmynd10,black,adipose,,NO,Zmynd10,,1,UNSIGNED
115,10002902984.Lrrc75b,black,adipose,,NO,Lrrc75b,,1,UNSIGNED
116,503073.Mmp7,black,adipose,,NO,Mmp7,,1,UNSIGNED
117,516466.Wdr31,black,adipose,,NO,Wdr31,,1,UNSIGNED
118,516429.Cfap206,black,adipose,,NO,Cfap206,,1,UNSIGNED
119,512594.Pifo,black,adipose,,NO,Pifo,,1,UNSIGNED
120,512343.Cldn7,black,adipose,,NO,Cldn7,,1,UNSIGNED
121,10002909323.Tmem184a,black,adipose,,NO,Tmem184a,,1,UNSIGNED
122,10002916879.Crb3,black,adipose,,NO,Crb3,,1,UNSIGNED
123,10002915659.Tmem212,black,adipose,,NO,Tmem212,,1,UNSIGNED
124,509670.Kndc1,black,adipose,,NO,Kndc1,,1,UNSIGNED
125,503653.Gjb3,black,adipose,,NO,Gjb3,,1,UNSIGNED
126,10002907993.Sox9,black,adipose,,NO,Sox9,,1,UNSIGNED
127,10002902127.Mmd2,black,adipose,,NO,Mmd2,,1,UNSIGNED
128,515248.Hunk,black,adipose,,NO,Hunk,,1,UNSIGNED
129,10002909965.4833427G06Rik,black,adipose,,NO,4833427G06Rik,,1,UNSIGNED
130,10002910250.Slc35f2,black,adipose,,NO,Slc35f2,,1,UNSIGNED
131,10002911549.Efcab12,black,adipose,,NO,Efcab12,,1,UNSIGNED
132,10002913858.Fam166b,black,adipose,,NO,Fam166b,,1,UNSIGNED
133,504885.Fank1,black,adipose,,NO,Fank1,,1,UNSIGNED
134,517309.Zfp474,black,adipose,,NO,Zfp474,,1,UNSIGNED
135,517949.Fam166c,black,adipose,,NO,Fam166c,,1,UNSIGNED
136,10002902976.9530077C05Rik,black,adipose,,NO,9530077C05Rik,,1,UNSIGNED
137,514530.Prss56,black,adipose,,NO,Prss56,,1,UNSIGNED
138,508068.Ccdc81,black,adipose,,NO,Ccdc81,,1,UNSIGNED
139,10002947946.Eddm3b,black,adipose,,NO,Eddm3b,,1,UNSIGNED
140,10002915005.Cfap206,black,adipose,,NO,Cfap206,,1,UNSIGNED
141,508838.Plet1,black,adipose,,NO,Plet1,,1,UNSIGNED
142,10002937101.Cdhr4,black,adipose,,NO,Cdhr4,,1,UNSIGNED
143,10002917897.Esrp1,black,adipose,,NO,Esrp1,,1,UNSIGNED
144,10004033025.Spag8,black,adipose,,NO,Spag8,,1,UNSIGNED
145,10002918645.Cdhr5,black,adipose,,NO,Cdhr5,,1,UNSIGNED
146,10002913036.Tsnaxip1,black,adipose,,NO,Tsnaxip1,,1,UNSIGNED
147,10002172636.Bex2,black,adipose,,NO,Bex2,,1,UNSIGNED
148,10002901447.Aoc1,black,adipose,,NO,Aoc1,,1,UNSIGNED
149,516489.Cfap57,black,adipose,,NO,Cfap57,,1,UNSIGNED
150,502667.Spint1,black,adipose,,NO,Spint1,,1,UNSIGNED
151,10003116899.Rbfox3,black,adipose,,NO,Rbfox3,,1,UNSIGNED
152,10004037014.Tmem150c,black,adipose,,NO,Tmem150c,,1,UNSIGNED
153,1368410.Rsph10b,black,adipose,,NO,Rsph10b,,1,UNSIGNED
