,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
76,10002916829.Gm5743,black,islet,,NO,Gm5743,,1,UNSIGNED
77,501286.Chrna9,black,islet,,NO,Chrna9,,1,UNSIGNED
78,10003843008.Gm16168,black,islet,,NO,Gm16168,,1,UNSIGNED
79,10002909591.Sgk1,black,islet,,NO,Sgk1,,1,UNSIGNED
80,10002929773.Gm34066,black,islet,,NO,Gm34066,,1,UNSIGNED
81,10002906029.Hdhd5,black,islet,,NO,Hdhd5,,1,UNSIGNED
82,10003843002.Tiam2,black,islet,,NO,Tiam2,,1,UNSIGNED
83,516235.4930578M07Rik,black,islet,,NO,4930578M07Rik,,1,UNSIGNED
84,10002914445.Bicral,black,islet,,NO,Bicral,,1,UNSIGNED
85,10002924280.C230072F16Rik,black,islet,,NO,C230072F16Rik,,1,UNSIGNED
86,10003838354.Rnf224,black,islet,,NO,Rnf224,,1,UNSIGNED
87,10003845974.Gm1527,black,islet,,NO,Gm1527,,1,UNSIGNED
88,10002904387.Gm9071,black,islet,,NO,Gm9071,,1,UNSIGNED
89,10003839986.Dbhos,black,islet,,NO,Dbhos,,1,UNSIGNED
90,10003115794.Fscn1,black,islet,,NO,Fscn1,,1,UNSIGNED
91,10002907636.Stpg3,black,islet,,NO,Stpg3,,1,UNSIGNED
92,10002937654.Plcb1,black,islet,,NO,Plcb1,,1,UNSIGNED
93,10003837927.4930567H12Rik,black,islet,,NO,4930567H12Rik,,1,UNSIGNED
94,514600.Klra17,black,islet,,NO,Klra17,,1,UNSIGNED
95,10003840152.Zim2,black,islet,,NO,Zim2,,1,UNSIGNED
96,10002942312.Gm25264,black,islet,,NO,Gm25264,,1,UNSIGNED
97,504509.4930556N09Rik,black,islet,,NO,4930556N09Rik,,1,UNSIGNED
98,10002910898.Lrrc45,black,islet,,NO,Lrrc45,,1,UNSIGNED
99,10002946598.A530021J07Rik,black,islet,,NO,A530021J07Rik,,1,UNSIGNED
100,10002910174.Scgb3a1,black,islet,,NO,Scgb3a1,,1,UNSIGNED
101,10002904528.Vmn1r84,black,islet,,NO,Vmn1r84,,1,UNSIGNED
102,500032.Cd4,black,islet,,NO,Cd4,,1,UNSIGNED
103,517509.Ddr2,black,islet,,NO,Ddr2,,1,UNSIGNED
104,10002924701.Lrba,black,islet,,NO,Lrba,,1,UNSIGNED
105,508604.Defb2,black,islet,,NO,Defb2,,1,UNSIGNED
106,508075.Mfap4,black,islet,,NO,Mfap4,,1,UNSIGNED
107,10002943315.Mrps11,black,islet,,NO,Mrps11,,1,UNSIGNED
108,10002944928.Tafa3,black,islet,,NO,Tafa3,,1,UNSIGNED
109,10003844248.Ppp2r5c,black,islet,,NO,Ppp2r5c,,1,UNSIGNED
110,10004038260.Macroh2a3,black,islet,,NO,Macroh2a3,,1,UNSIGNED
111,504544.Hs6st3,black,islet,,NO,Hs6st3,,1,UNSIGNED
112,501468.Gm26831,black,islet,,NO,Gm26831,,1,UNSIGNED
113,10003844609.Dennd4a,black,islet,,NO,Dennd4a,,1,UNSIGNED
114,10004035345.Cldn20,black,islet,,NO,Cldn20,,1,UNSIGNED
115,10003842345.Gm39158,black,islet,,NO,Gm39158,,1,UNSIGNED
116,10002926460.3110018I06Rik,black,islet,,NO,3110018I06Rik,,1,UNSIGNED
117,10003843544.Gm26122,black,islet,,NO,Gm26122,,1,UNSIGNED
118,10003844022.Pcdh1,black,islet,,NO,Pcdh1,,1,UNSIGNED
119,511963.Mip,black,islet,,NO,Mip,,1,UNSIGNED
120,10004037204.Ermard,black,islet,,NO,Ermard,,1,UNSIGNED
121,10002928434.Ralyl,black,islet,,NO,Ralyl,,1,UNSIGNED
122,10003840371.4933423P22Rik,black,islet,,NO,4933423P22Rik,,1,UNSIGNED
123,10003843387.Gm29234,black,islet,,NO,Gm29234,,1,UNSIGNED
124,10004035112.Kdm4b,black,islet,,NO,Kdm4b,,1,UNSIGNED
125,10004034100.Gm44775,black,islet,,NO,Gm44775,,1,UNSIGNED
126,10002908278.Rtl5,black,islet,,NO,Rtl5,,1,UNSIGNED
127,505080.Pmfbp1,black,islet,,NO,Pmfbp1,,1,UNSIGNED
128,10002939896.Gm23762,black,islet,,NO,Gm23762,,1,UNSIGNED
129,507752.Fgd3,black,islet,,NO,Fgd3,,1,UNSIGNED
130,10003844491.Gm22075,black,islet,,NO,Gm22075,,1,UNSIGNED
131,10003838600.Gm9767,black,islet,,NO,Gm9767,,1,UNSIGNED
132,10003844983.Lmntd1,black,islet,,NO,Lmntd1,,1,UNSIGNED
133,10002913243.Spsb1,black,islet,,NO,Spsb1,,1,UNSIGNED
134,10002903748.Csrnp2,black,islet,,NO,Csrnp2,,1,UNSIGNED
135,10002920981.Gm5270,black,islet,,NO,Gm5270,,1,UNSIGNED
136,10003842766.Olfr1229,black,islet,,NO,Olfr1229,,1,UNSIGNED
137,10003842282.Edil3,black,islet,,NO,Edil3,,1,UNSIGNED
138,497771.4930405D11Rik,black,islet,,NO,4930405D11Rik,,1,UNSIGNED
139,10003837722.Ift43,black,islet,,NO,Ift43,,1,UNSIGNED
140,504631.Vwc2l,black,islet,,NO,Vwc2l,,1,UNSIGNED
141,10002903425.Gfpt2,black,islet,,NO,Gfpt2,,1,UNSIGNED
142,10003840227.Lyg2,black,islet,,NO,Lyg2,,1,UNSIGNED
143,10002943064.Gm25090,black,islet,,NO,Gm25090,,1,UNSIGNED
144,498028.Abi1,black,islet,,NO,Abi1,,1,UNSIGNED
145,10003115176.Rab11fip3,black,islet,,NO,Rab11fip3,,1,UNSIGNED
