,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
86,514197.Mta3,black,islet,,NO,Mta3,,1,SIGNED
87,10002901093.Mplkip,black,islet,,NO,Mplkip,,1,SIGNED
88,519315.Cmc2,black,islet,,NO,Cmc2,,1,SIGNED
89,519859.Mrpl57,black,islet,,NO,Mrpl57,,1,SIGNED
90,10003838284.Rif1,black,islet,,NO,Rif1,,1,SIGNED
91,10002914629.Rab21,black,islet,,NO,Rab21,,1,SIGNED
92,10002911584.Gm5575,black,islet,,NO,Gm5575,,1,SIGNED
93,518553.Ldah,black,islet,,NO,Ldah,,1,SIGNED
94,499183.Gm16029,black,islet,,NO,Gm16029,,1,SIGNED
95,10004036635.Gm12940,black,islet,,NO,Gm12940,,1,SIGNED
96,10004038412.Noc3l,black,islet,,NO,Noc3l,,1,SIGNED
97,10003116200.Mapre2,black,islet,,NO,Mapre2,,1,SIGNED
98,515853.Zfp638,black,islet,,NO,Zfp638,,1,SIGNED
99,509106.Phf10,black,islet,,NO,Phf10,,1,SIGNED
100,500164.Tfb1m,black,islet,,NO,Tfb1m,,1,SIGNED
101,512581.Uhrf2,black,islet,,NO,Uhrf2,,1,SIGNED
102,10004037474.Gcfc2,black,islet,,NO,Gcfc2,,1,SIGNED
103,10002911661.Trib3,black,islet,,NO,Trib3,,1,SIGNED
104,10002914011.Cacybp,black,islet,,NO,Cacybp,,1,SIGNED
105,10002901610.Gm13852,black,islet,,NO,Gm13852,,1,SIGNED
106,511962.Nup35,black,islet,,NO,Nup35,,1,SIGNED
107,513306.Cars,black,islet,,NO,Cars,,1,SIGNED
108,10002905285.Swt1,black,islet,,NO,Swt1,,1,SIGNED
109,10002898548.Bfar,black,islet,,NO,Bfar,,1,SIGNED
110,10002902671.Yars,black,islet,,NO,Yars,,1,SIGNED
111,515127.Coq10b,black,islet,,NO,Coq10b,,1,SIGNED
112,506801.Sin3b,black,islet,,NO,Sin3b,,1,SIGNED
113,10002910152.Lztfl1,black,islet,,NO,Lztfl1,,1,SIGNED
114,502700.2410004B18Rik,black,islet,,NO,2410004B18Rik,,1,SIGNED
115,10002896933.Amer2,black,islet,,NO,Amer2,,1,SIGNED
116,520010.Xkr4,black,islet,,NO,Xkr4,,1,SIGNED
117,506624.Rbm10,black,islet,,NO,Rbm10,,1,SIGNED
118,10004035669.Gm11189,black,islet,,NO,Gm11189,,1,SIGNED
119,10002908579.Coq5,black,islet,,NO,Coq5,,1,SIGNED
120,10002896819.Purg,black,islet,,NO,Purg,,1,SIGNED
121,507207.Col4a3bp,black,islet,,NO,Col4a3bp,,1,SIGNED
122,10002943332.3110056K07Rik,black,islet,,NO,3110056K07Rik,,1,SIGNED
123,10002914707.Fdxacb1,black,islet,,NO,Fdxacb1,,1,SIGNED
124,10004037640.Nop16,black,islet,,NO,Nop16,,1,SIGNED
125,1364817.Gm8326,black,islet,,NO,Gm8326,,1,SIGNED
126,10004035744.Eif1ad,black,islet,,NO,Eif1ad,,1,SIGNED
127,514411.Xkr4,black,islet,,NO,Xkr4,,1,SIGNED
128,503351.Nol8,black,islet,,NO,Nol8,,1,SIGNED
129,10002910762.Hspd1-ps5,black,islet,,NO,Hspd1-ps5,,1,SIGNED
130,10004034099.Snx6,black,islet,,NO,Snx6,,1,SIGNED
131,10003843228.Ubfd1,black,islet,,NO,Ubfd1,,1,SIGNED
132,10002913683.Chac1,black,islet,,NO,Chac1,,1,SIGNED
133,502732.Fbxo43,black,islet,,NO,Fbxo43,,1,SIGNED
