Accession,module,tissue_origin,kME_module,multiple_tissues,transcript,gene_symbol,entrez_ID,numb_tissues
10002910370.Kifbp,black,islet,0.69976052,NO,,Kifbp,10002910370,1
10002903634.Ipo7,black,islet,0.697437375,NO,,Ipo7,10002903634,1
514197.Mta3,black,islet,0.69724676,NO,,Mta3,514197,1
10002901093.Mplkip,black,islet,0.696372469,NO,,Mplkip,10002901093,1
519315.Cmc2,black,islet,0.693358742,NO,,Cmc2,519315,1
519859.Mrpl57,black,islet,0.693111634,NO,,Mrpl57,519859,1
10003838284.Rif1,black,islet,0.692806107,NO,,Rif1,10003838284,1
10002914629.Rab21,black,islet,0.69203311,NO,,Rab21,10002914629,1
10002911584.Gm5575,black,islet,0.690771711,NO,,Gm5575,10002911584,1
518553.Ldah,black,islet,0.690296841,NO,,Ldah,518553,1
499183.Gm16029,black,islet,0.689485658,NO,,Gm16029,499183,1
10004036635.Gm12940,black,islet,0.688618591,NO,,Gm12940,10004036635,1
10004038412.Noc3l,black,islet,0.688568331,NO,,Noc3l,10004038412,1
10003116200.Mapre2,black,islet,0.688478364,NO,,Mapre2,10003116200,1
515853.Zfp638,black,islet,0.688264188,NO,,Zfp638,515853,1
509106.Phf10,black,islet,0.688159837,NO,,Phf10,509106,1
500164.Tfb1m,black,islet,0.688150908,NO,,Tfb1m,500164,1
512581.Uhrf2,black,islet,0.685855081,NO,,Uhrf2,512581,1
10004037474.Gcfc2,black,islet,0.684677281,NO,,Gcfc2,10004037474,1
10002911661.Trib3,black,islet,0.683627636,NO,,Trib3,10002911661,1
10002914011.Cacybp,black,islet,0.681856081,NO,,Cacybp,10002914011,1
10002901610.Gm13852,black,islet,0.681448727,NO,,Gm13852,10002901610,1
511962.Nup35,black,islet,0.681122835,NO,,Nup35,511962,1
513306.Cars,black,islet,0.680576148,NO,,Cars,513306,1
10002905285.Swt1,black,islet,0.680373584,NO,,Swt1,10002905285,1
10002898548.Bfar,black,islet,0.680299981,NO,,Bfar,10002898548,1
10002902671.Yars,black,islet,0.679252344,NO,,Yars,10002902671,1
515127.Coq10b,black,islet,0.67785338,NO,,Coq10b,515127,1
506801.Sin3b,black,islet,0.677662993,NO,,Sin3b,506801,1
10002910152.Lztfl1,black,islet,0.676680513,NO,,Lztfl1,10002910152,1
502700.2410004B18Rik,black,islet,0.676305472,NO,,2410004B18Rik,502700,1
10002896933.Amer2,black,islet,0.676170405,NO,,Amer2,10002896933,1
520010.Xkr4,black,islet,0.674735469,NO,,Xkr4,520010,1
506624.Rbm10,black,islet,0.673982001,NO,,Rbm10,506624,1
10004035669.Gm11189,black,islet,0.67353917,NO,,Gm11189,10004035669,1
10002908579.Coq5,black,islet,0.673410981,NO,,Coq5,10002908579,1
10002896819.Purg,black,islet,0.672526167,NO,,Purg,10002896819,1
507207.Col4a3bp,black,islet,0.672487579,NO,,Col4a3bp,507207,1
10002943332.3110056K07Rik,black,islet,0.672346803,NO,,3110056K07Rik,10002943332,1
10002914707.Fdxacb1,black,islet,0.67233272,NO,,Fdxacb1,10002914707,1
10004037640.Nop16,black,islet,0.671775934,NO,,Nop16,10004037640,1
1364817.Gm8326,black,islet,0.671504009,NO,,Gm8326,1364817,1
10004035744.Eif1ad,black,islet,0.670651051,NO,,Eif1ad,10004035744,1
514411.Xkr4,black,islet,0.670524947,NO,,Xkr4,514411,1
503351.Nol8,black,islet,0.670406738,NO,,Nol8,503351,1
10002910762.Hspd1-ps5,black,islet,0.670219119,NO,,Hspd1-ps5,10002910762,1
10004034099.Snx6,black,islet,0.667879825,NO,,Snx6,10004034099,1
10003843228.Ubfd1,black,islet,0.667501586,NO,,Ubfd1,10003843228,1
10002913683.Chac1,black,islet,0.666892606,NO,,Chac1,10002913683,1
502732.Fbxo43,black,islet,0.665744555,NO,,Fbxo43,502732,1
10004033918.Rbm33,black,islet,0.664910627,NO,,Rbm33,10004033918,1
498980.Gmcl1,black,islet,0.664831675,NO,,Gmcl1,498980,1
10002917496.Cdc73,black,islet,0.663125863,NO,,Cdc73,10002917496,1
10002916054.Rab3ip,black,islet,0.662455381,NO,,Rab3ip,10002916054,1
10002914255.Zfp672,black,islet,0.6621916,NO,,Zfp672,10002914255,1
514113.Igip,black,islet,0.661902125,NO,,Igip,514113,1
519698.Sfpq,black,islet,0.661045228,NO,,Sfpq,519698,1
505319.Fbxo3,black,islet,0.659322456,NO,,Fbxo3,505319,1
10002911628.Dennd4c,black,islet,0.658299031,NO,,Dennd4c,10002911628,1
10002909933.Marveld3,black,islet,0.656692428,NO,,Marveld3,10002909933,1
10003836102.Gm7232,black,islet,0.655959987,NO,,Gm7232,10003836102,1
10002906254.Gtf2e2,black,islet,0.655885554,NO,,Gtf2e2,10002906254,1
498628.Dnajb2,black,islet,0.655474514,NO,,Dnajb2,498628,1
10004035877.Dus4l,black,islet,0.654298423,NO,,Dus4l,10004035877,1
