,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
73,499257.Ppm1a,turquoise,gastroc,,NO,Ppm1a,,1,UNSIGNED
74,499258.Atl2,turquoise,gastroc,,NO,Atl2,,1,UNSIGNED
75,499261.Acot7,turquoise,gastroc,,NO,Acot7,,1,UNSIGNED
76,499275.Evc2,turquoise,gastroc,,NO,Evc2,,1,UNSIGNED
77,499289.Krt84,turquoise,gastroc,,NO,Krt84,,1,UNSIGNED
78,499297.Slc25a33,turquoise,gastroc,,NO,Slc25a33,,1,UNSIGNED
79,499339.Slc46a1,turquoise,gastroc,,NO,Slc46a1,,1,UNSIGNED
80,499345.Lce3b,turquoise,gastroc,,NO,Lce3b,,1,UNSIGNED
81,499350.Retreg3,turquoise,gastroc,,NO,Retreg3,,1,UNSIGNED
82,499404.Pde4a,turquoise,gastroc,,NO,Pde4a,,1,UNSIGNED
83,499410.Socs5,turquoise,gastroc,,NO,Socs5,,1,UNSIGNED
84,499413.Fam3c,turquoise,gastroc,,NO,Fam3c,,1,UNSIGNED
85,499444.Lsm14a,turquoise,gastroc,,NO,Lsm14a,,1,UNSIGNED
86,499449.Zfr,turquoise,gastroc,,NO,Zfr,,1,UNSIGNED
87,499483.Neurog1,turquoise,gastroc,,NO,Neurog1,,1,UNSIGNED
88,499507.Zmat3,turquoise,gastroc,,NO,Zmat3,,1,UNSIGNED
89,499555.Zyx,turquoise,gastroc,,NO,Zyx,,1,UNSIGNED
90,499585.Tgfb3,turquoise,gastroc,,NO,Tgfb3,,1,UNSIGNED
91,499586.Aopep,turquoise,gastroc,,NO,Aopep,,1,UNSIGNED
92,499604.Mphosph10,turquoise,gastroc,,NO,Mphosph10,,1,UNSIGNED
93,499627.Mtif2,turquoise,gastroc,,NO,Mtif2,,1,UNSIGNED
94,499667.Gm50428,turquoise,gastroc,,NO,Gm50428,,1,UNSIGNED
95,499687.Large1,turquoise,gastroc,,NO,Large1,,1,UNSIGNED
96,499724.Taf8,turquoise,gastroc,,NO,Taf8,,1,UNSIGNED
97,499725.1300014J16Rik,turquoise,gastroc,,NO,1300014J16Rik,,1,UNSIGNED
98,499787.4930515G16Rik,turquoise,gastroc,,NO,4930515G16Rik,,1,UNSIGNED
99,499788.Pex16,turquoise,gastroc,,NO,Pex16,,1,UNSIGNED
100,499791.Syce1l,turquoise,gastroc,,NO,Syce1l,,1,UNSIGNED
101,499818.Gucy1b1,turquoise,gastroc,,NO,Gucy1b1,,1,UNSIGNED
102,499863.Nab1,turquoise,gastroc,,NO,Nab1,,1,UNSIGNED
103,499873.Nars,turquoise,gastroc,,NO,Nars,,1,UNSIGNED
104,499876.Plaat5,turquoise,gastroc,,NO,Plaat5,,1,UNSIGNED
105,499907.F3,turquoise,gastroc,,NO,F3,,1,UNSIGNED
106,499908.Cep170,turquoise,gastroc,,NO,Cep170,,1,UNSIGNED
107,499914.2900026A02Rik,turquoise,gastroc,,NO,2900026A02Rik,,1,UNSIGNED
108,499922.Fads2,turquoise,gastroc,,NO,Fads2,,1,UNSIGNED
109,499927.Gm12939,turquoise,gastroc,,NO,Gm12939,,1,UNSIGNED
110,499961.Gpalpp1,turquoise,gastroc,,NO,Gpalpp1,,1,UNSIGNED
111,499967.Brd4,turquoise,gastroc,,NO,Brd4,,1,UNSIGNED
112,499987.9530026F06Rik,turquoise,gastroc,,NO,9530026F06Rik,,1,UNSIGNED
113,500038.Glyr1,turquoise,gastroc,,NO,Glyr1,,1,UNSIGNED
114,500044.Ddx6,turquoise,gastroc,,NO,Ddx6,,1,UNSIGNED
115,500065.4930503L19Rik,turquoise,gastroc,,NO,4930503L19Rik,,1,UNSIGNED
116,500071.Ttyh3,turquoise,gastroc,,NO,Ttyh3,,1,UNSIGNED
117,500101.Cav3,turquoise,gastroc,,NO,Cav3,,1,UNSIGNED
118,500143.Hip1r,turquoise,gastroc,,NO,Hip1r,,1,UNSIGNED
119,500176.Dohh,turquoise,gastroc,,NO,Dohh,,1,UNSIGNED
120,500241.Tor1aip2,turquoise,gastroc,,NO,Tor1aip2,,1,UNSIGNED
121,500242.Amotl1,turquoise,gastroc,,NO,Amotl1,,1,UNSIGNED
122,500255.5330425B07Rik,turquoise,gastroc,,NO,5330425B07Rik,,1,UNSIGNED
123,500260.Galnt2l,turquoise,gastroc,,NO,Galnt2l,,1,UNSIGNED
124,500367.Ncstn,turquoise,gastroc,,NO,Ncstn,,1,UNSIGNED
125,500371.Ncoa2,turquoise,gastroc,,NO,Ncoa2,,1,UNSIGNED
126,500397.Sec22b,turquoise,gastroc,,NO,Sec22b,,1,UNSIGNED
127,500478.Limk2,turquoise,gastroc,,NO,Limk2,,1,UNSIGNED
128,500506.Plet1os,turquoise,gastroc,,NO,Plet1os,,1,UNSIGNED
129,500542.Ptk2,turquoise,gastroc,,NO,Ptk2,,1,UNSIGNED
130,500546.Hivep2,turquoise,gastroc,,NO,Hivep2,,1,UNSIGNED
131,500564.Tro,turquoise,gastroc,,NO,Tro,,1,UNSIGNED
132,500565.Ube2k,turquoise,gastroc,,NO,Ube2k,,1,UNSIGNED
133,500614.Kcng4,turquoise,gastroc,,NO,Kcng4,,1,UNSIGNED
134,500630.Dhcr24,turquoise,gastroc,,NO,Dhcr24,,1,UNSIGNED
135,500638.Mansc1,turquoise,gastroc,,NO,Mansc1,,1,UNSIGNED
136,500687.Gm12526,turquoise,gastroc,,NO,Gm12526,,1,UNSIGNED
137,500690.Adam10,turquoise,gastroc,,NO,Adam10,,1,UNSIGNED
138,500804.Qk,turquoise,gastroc,,NO,Qk,,1,UNSIGNED
139,500831.Slc16a3,turquoise,gastroc,,NO,Slc16a3,,1,UNSIGNED
140,500836.Creb3l1,turquoise,gastroc,,NO,Creb3l1,,1,UNSIGNED
141,500841.Tmed7,turquoise,gastroc,,NO,Tmed7,,1,UNSIGNED
142,500853.Gsr,turquoise,gastroc,,NO,Gsr,,1,UNSIGNED
143,500885.AK157302,turquoise,gastroc,,NO,AK157302,,1,UNSIGNED
144,500886.Map3k1,turquoise,gastroc,,NO,Map3k1,,1,UNSIGNED
